Agency Name,State Name [District] Latest available year,Agency ID,County Name [District] 2010-11,State Abbr [District] Latest available year,Agency Name [District] 2010-11
CASSADAGA VALLEY CENTRAL SCHOOL DISTRICT,New York,3606660,CHAUTAUQUA COUNTY,NY ,CASSADAGA VALLEY CENTRAL SCHOOL DISTRICT
CASSIA COUNTY JOINT DISTRICT,Idaho,1600660,CASSIA COUNTY,ID ,CASSIA COUNTY JOINT DISTRICT
CASSOPOLIS PUBLIC SCHOOLS,Michigan,2608430,CASS COUNTY,MI ,CASSOPOLIS PUBLIC SCHOOLS
CASSVILLE R-IV,Missouri,2908170,BARRY COUNTY,MO ,CASSVILLE R-IV
CASSVILLE SCHOOL DISTRICT,Wisconsin,5502400,GRANT COUNTY,WI ,CASSVILLE SCHOOL DISTRICT
CASTAIC UNION ELEM,California,607740,LOS ANGELES COUNTY,CA ,CASTAIC UNION ELEMENTARY
CASTINE SCHOOL DEPARTMENT,Maine,2304080,HANCOCK COUNTY,ME ,CASTINE SCHOOL DEPARTMENT
CASTLE ROCK SCHOOL DISTRICT,Washington,5300990,COWLITZ COUNTY,WA ,CASTLE ROCK SCHOOL DISTRICT
CASTLE ROCK UNION ELEM,California,607770,SHASTA COUNTY,CA ,CASTLE ROCK UNION ELEMENTARY
CASTLEBERRY ISD,Texas,4813170,TARRANT COUNTY,TX ,CASTLEBERRY ISD
CASTLEFORD DISTRICT,Idaho,1600690,TWIN FALLS COUNTY,ID ,CASTLEFORD DISTRICT
CASTLETON SCHOOL DISTRICT,Vermont,5002970,RUTLAND COUNTY,VT ,CASTLETON SCHOOL DISTRICT
CASTLETON-HUBBARDTON USD #42,Vermont,5000001,RUTLAND COUNTY,VT ,CASTLETON-HUBBARDTON USD 42
CASTLEWOOD SCHOOL DISTRICT 28-1,South Dakota,4611280,HAMLIN COUNTY,SD ,CASTLEWOOD SCHOOL DISTRICT 28-1
CASTON SCHOOL CORPORATION,Indiana,1801410,FULTON COUNTY,IN ,CASTON SCHOOL CORPORATION
CASTRO VALLEY UNF,California,607800,ALAMEDA COUNTY,CA ,CASTRO VALLEY UNIFIED
CASWELL COUNTY SCHOOLS,North Carolina,3700660,CASWELL COUNTY,NC ,CASWELL COUNTY SCHOOLS
CASWELL SCHOOL DEPARTMENT,Maine,2304110,AROOSTOOK COUNTY,ME ,CASWELL SCHOOL DEPARTMENT
CASY COUNTRY DAY SCHOOL,Arizona,400038,MARICOPA COUNTY,AZ ,CASY COUNTRY DAY SCHOOL
CATAHOULA PARISH,Louisiana,2200420,CATAHOULA PARISH,LA ,CATAHOULA PARISH
CATALINA FOOTHILLS UNIFIED DISTRICT,Arizona,401760,PIMA COUNTY,AZ ,CATALINA FOOTHILLS UNIFIED DISTRICT
CATASAUQUA AREA SD,Pennsylvania,4205160,LEHIGH COUNTY,PA ,CATASAUQUA AREA SD
CATAWBA COUNTY SCHOOLS,North Carolina,3700690,CATAWBA COUNTY,NC ,CATAWBA COUNTY SCHOOLS
CATHEDRAL HOME FOR CHILDREN  ADMINISTRATION OFFICE,Wyoming,5600009,ALBANY COUNTY,WY ,CATHEDRAL HOME FOR CHILDREN - ADMINISTRATION OFFICE
CATLIN CUSD 5,Illinois,1710760,VERMILION COUNTY,IL ,CATLIN CUSD 5
CATO-MERIDIAN CENTRAL SCHOOL DISTRICT,New York,3606690,CAYUGA COUNTY,NY ,CATO-MERIDIAN CENTRAL SCHOOL DISTRICT
CATOOSA,Oklahoma,4006870,ROGERS COUNTY,OK ,CATOOSA
CATOOSA COUNTY,Georgia,1300930,CATOOSA COUNTY,GA ,CATOOSA COUNTY
CATSKILL CENTRAL SCHOOL DISTRICT,New York,3606720,GREENE COUNTY,NY ,CATSKILL CENTRAL SCHOOL DISTRICT
CATTARAUGUS-ALLEGANY-ERIE-WYOMING BOCES,New York,3680150,CATTARAUGUS COUNTY,NY ,CATTARAUGUS-ALLEGANY-ERIE-WYOMING BOCES
CATTARAUGUS-LITTLE VALLEY CENTRAL SCHOOL DISTRICT,New York,3600024,CATTARAUGUS COUNTY,NY ,CATTARAUGUS-LITTLE VALLEY CENTRAL SCHOOL DISTRICT
CAVALIER 6,North Dakota,3800018,PEMBINA COUNTY,ND ,CAVALIER 6
CAVE CITY SCHOOL DISTRICT,Arkansas,504050,SHARP COUNTY,AR ,CAVE CITY SCHOOL DISTRICT
CAVE CREEK UNIFIED DISTRICT,Arizona,400001,MARICOPA COUNTY,AZ ,CAVE CREEK UNIFIED DISTRICT
CAVE SPRINGS,Oklahoma,4006930,ADAIR COUNTY,OK ,CAVE SPRINGS
CAVELAND EDUCATIONAL SUPPORT CENTER,Kentucky,2100098,WARREN COUNTY,KY ,CAVELAND EDUCATIONAL SUPPORT CENTER
CAVENDISH SCHOOL DISTRICT,Vermont,5003010,WINDSOR COUNTY,VT ,CAVENDISH SCHOOL DISTRICT
CAVERNA INDEPENDENT,Kentucky,2101110,BARREN COUNTY,KY ,CAVERNA INDEPENDENT
CAYUCOS ELEM,California,607840,SAN LUIS OBISPO COUNTY,CA ,CAYUCOS ELEMENTARY
CAYUGA ISD,Texas,4813200,ANDERSON COUNTY,TX ,CAYUGA ISD
CAYUGA-ONONDAGA BOCES,New York,3680180,CAYUGA COUNTY,NY ,CAYUGA-ONONDAGA BOCES
CAYUSE PRAIRIE ELEM,Montana,3005990,FLATHEAD COUNTY,MT ,CAYUSE PRAIRIE ELEM
CAZENOVIA CENTRAL SCHOOL DISTRICT,New York,3606780,MADISON COUNTY,NY ,CAZENOVIA CENTRAL SCHOOL DISTRICT
CCSD 146,Illinois,1739030,COOK COUNTY,IL ,TINLEY PARK CCSD 146
CCSD 168,Illinois,1735460,COOK COUNTY,IL ,CCSD 168
CCSD 180,Illinois,1730510,DUPAGE COUNTY,IL ,CCSD 180
CCSD 204,Illinois,1731560,PERRY COUNTY,IL ,CCSD 204
CCSD 62,Illinois,1712120,COOK COUNTY,IL ,CCSD 62
CCSD 89,Illinois,1740500,DUPAGE COUNTY,IL ,CCSD 89
CCSD 93,Illinois,1710470,DUPAGE COUNTY,IL ,CCSD 93
CEA AMADOR CO,California,600050,AMADOR COUNTY,CA ,CEA AMADOR CO
CEA LOS ANGELES CO,California,600053,LOS ANGELES COUNTY,CA ,CEA LOS ANGELES CO
CEA SAN BERNARDINO CO,California,600056,SAN BERNARDINO COUNTY,CA ,CEA SAN BERNARDINO CO
CEA SAN JOAQUIN CO,California,600057,SAN JOAQUIN COUNTY,CA ,CEA SAN JOAQUIN CO
CEA VENTURA CO,California,600066,VENTURA COUNTY,CA ,CEA VENTURA CO
CECIL COUNTY PUBLIC SCHOOLS,Maryland,2400240,CECIL COUNTY,MD ,CECIL COUNTY PUBLIC SCHOOLS
CEDAR BLUFFS PUBLIC SCHOOLS,Nebraska,3104870,SAUNDERS COUNTY,NE ,CEDAR BLUFFS PUBLIC SCHOOLS
CEDAR CLIFF LOCAL,Ohio,3904725,GREENE COUNTY,OH ,CEDAR CLIFF LOCAL
CEDAR FALLS COMM SCHOOL DISTRICT,Iowa,1906510,BLACK HAWK COUNTY,IA ,CEDAR FALLS COMM SCHOOL DISTRICT
CEDAR GROVE TOWNSHIP SCHOOL DISTRICT,New Jersey,3402850,ESSEX COUNTY,NJ ,CEDAR GROVE TOWNSHIP
CEDAR GROVE-BELGIUM AREA SCHOOL DISTRICT,Wisconsin,5502430,SHEBOYGAN COUNTY,WI ,CEDAR GROVE-BELGIUM AREA SCHOOL DISTRICT
CEDAR HILL ISD,Texas,4813230,DALLAS COUNTY,TX ,CEDAR HILL ISD
CEDAR MOUNTAIN SCHOOL DISTRICT,Minnesota,2700110,REDWOOD COUNTY,MN ,CEDAR MOUNTAIN SCHOOL DISTRICT
CEDAR RAPIDS COMM SCHOOL DISTRICT,Iowa,1906540,LINN COUNTY,IA ,CEDAR RAPIDS COMM SCHOOL DISTRICT
CEDAR RAPIDS PUBLIC SCHOOL,Nebraska,3100068,BOONE COUNTY,NE ,CEDAR RAPIDS PUBLIC SCHOOLS
CEDAR RIDGE SCHOOL DISTRICT,Arkansas,500070,INDEPENDENCE COUNTY,AR ,CEDAR RIDGE SCHOOL DISTRICT
CEDAR RIVERSIDE COMMUNITY SCHOOL,Minnesota,2700027,HENNEPIN COUNTY,MN ,CEDAR RIVERSIDE COMMUNITY SCHOOL
CEDAR SPRINGS PUBLIC SCHOOLS,Michigan,2608520,KENT COUNTY,MI ,CEDAR SPRINGS PUBLIC SCHOOLS
CEDAR UNIFIED DISTRICT,Arizona,401810,NAVAJO COUNTY,AZ ,CEDAR UNIFIED DISTRICT
CEDAR VALE,Kansas,2004500,CHAUTAUQUA COUNTY,KS ,CEDAR VALE
CEDARBURG SCHOOL DISTRICT,Wisconsin,5502460,OZAUKEE COUNTY,WI ,CEDARBURG SCHOOL DISTRICT
CEDARS INTERNATIONAL ACADEMY,Texas,4800232,TRAVIS COUNTY,TX ,CEDARS INTERNATIONAL ACADEMY
CEDARVILLE SCHOOL DISTRICT,Arkansas,504080,CRAWFORD COUNTY,AR ,CEDARVILLE SCHOOL DISTRICT
CELESTE ISD,Texas,4813260,HUNT COUNTY,TX ,CELESTE ISD
CELINA CITY,Ohio,3910030,MERCER COUNTY,OH ,CELINA CITY
CELINA ISD,Texas,4813290,COLLIN COUNTY,TX ,CELINA ISD
CEMENT,Oklahoma,4006960,CADDO COUNTY,OK ,CEMENT
CENT VA TRAIN CT,Virginia,5100050,AMHERST COUNTY,VA ,CENT VA TRAIN CT
CENTENNIAL BOCES,Colorado,800226,WELD COUNTY,CO ,CENTENNIAL BOCES
CENTENNIAL BOCES,Colorado,899200,BOULDER COUNTY,CO ,CENTENNIAL BOCES
CENTENNIAL PUBLIC SCHOOL DISTRICT,Minnesota,2708100,ANOKA COUNTY,MN ,CENTENNIAL PUBLIC SCHOOL DISTRICT
CENTENNIAL PUBLIC SCHOOLS,Nebraska,3100099,SEWARD COUNTY,NE ,CENTENNIAL PUBLIC SCHOOLS
CENTENNIAL SCHOOL DISTRICT NO. R-1,Colorado,806360,COSTILLA COUNTY,CO ,CENTENNIAL SCHOOL DISTRICT NO. R-1
CENTENNIAL SD,Pennsylvania,4205190,BUCKS COUNTY,PA ,CENTENNIAL SD
CENTENNIAL SD 28J,Oregon,4102800,MULTNOMAH COUNTY,OR ,CENTENNIAL SD 28J
CENTER 58,Missouri,2908250,JACKSON COUNTY,MO ,CENTER 58
CENTER ACADEMY,Michigan,2600196,GENESEE COUNTY,MI ,CENTER ACADEMY
CENTER CASS SD 66,Illinois,1708970,DUPAGE COUNTY,IL ,CENTER CASS SD 66
CENTER CITY PCS,District of Columbia,1100073,DISTRICT OF COLUMBIA,DC ,CENTER CITY PCS
CENTER CONSOLIDATED SCHOOL DISTRICT NO. 26 JT. OF THE COUNT,Colorado,802850,SAGUACHE COUNTY,CO ,CENTER CONSOLIDATED SCHOOL DISTRICT NO. 26 JT. OF THE COUNT
CENTER FOR ACADEMIC SUCCESS  INC.,Arizona,400016,COCHISE COUNTY,AZ ,CENTER FOR ACADEMIC SUCCESS  INC.
CENTER FOR ADVANCED RESEARCH & TECHNOLOGY (CART) JOINT POWER,California,601351,FRESNO COUNTY,CA ,CENTER FOR ADVANCED RESEARCH & TECHNOLOGY (CART) JOINT POWER
CENTER FOR LITERACY AND CREATIVITY,Michigan,2600236,WAYNE COUNTY,MI ,CENTER FOR LITERACY AND CREATIVITY
CENTER FOR STUDENT ACHIEVEMENT,Ohio,3900585,JACKSON COUNTY,OH ,CENTER FOR STUDENT ACHIEVEMENT
CENTER FOR STUDENT LEARNING CS AT PENNSBURY,Pennsylvania,4200100,BUCKS COUNTY,PA ,CENTER FOR STUDENT LEARNING CS AT PENNSBURY
CENTER GROVE COM SCH CORP,Indiana,1801440,JOHNSON COUNTY,IN ,CENTER GROVE COM SCH CORP
CENTER ISD,Texas,4813320,SHELBY COUNTY,TX ,CENTER ISD
CENTER JOINT UNF,California,607900,SACRAMENTO COUNTY,CA ,CENTER JOINT UNIFIED
CENTER LINE PUBLIC SCHOOLS,Michigan,2608580,MACOMB COUNTY,MI ,CENTER LINE PUBLIC SCHOOLS
CENTER MORICHES UNION FREE SCHOOL DISTRICT,New York,3606840,SUFFOLK COUNTY,NY ,CENTER MORICHES UNION FREE SCHOOL DISTRICT
CENTER POINT ISD,Texas,4813350,KERR COUNTY,TX ,CENTER POINT ISD
CENTER POINT-URBANA COMM SCHOOL DISTRICT,Iowa,1906660,LINN COUNTY,IA ,CENTER POINT-URBANA COMM SCHOOL DISTRICT
CENTER-STANTON 1,North Dakota,3800052,OLIVER COUNTY,ND ,CENTER-STANTON 1
CENTERBURG LOCAL,Ohio,3904782,KNOX COUNTY,OH ,CENTERBURG LOCAL
CENTERPOINT SCHOOL DISTRICT,Arkansas,506690,CLARK COUNTY,AR ,CENTERPOINT SCHOOL DISTRICT
CENTERVILLE CITY,Ohio,3904373,MONTGOMERY COUNTY,OH ,CENTERVILLE CITY
CENTERVILLE COMM SCHOOL DISTRICT,Iowa,1906750,APPANOOSE COUNTY,IA ,CENTERVILLE COMM SCHOOL DISTRICT
CENTERVILLE ELEM,Montana,3025130,CASCADE COUNTY,MT ,CENTERVILLE ELEM
CENTERVILLE H S,Montana,3025140,CASCADE COUNTY,MT ,CENTERVILLE H S
CENTERVILLE ISD,Texas,4813380,TRINITY COUNTY,TX ,CENTERVILLE ISD
CENTERVILLE ISD,Texas,4813410,LEON COUNTY,TX ,CENTERVILLE ISD
CENTERVILLE R-I,Missouri,2908340,REYNOLDS COUNTY,MO ,CENTERVILLE R-I
CENTERVILLE SCHOOL DISTRICT,Washington,5301050,KLICKITAT COUNTY,WA ,CENTERVILLE SCHOOL DISTRICT
CENTERVILLE SCHOOL DISTRICT 60-1,South Dakota,4611760,TURNER COUNTY,SD ,CENTERVILLE SCHOOL DISTRICT 60-1
CENTERVILLE-ABINGTON COM SCHS,Indiana,1801560,WAYNE COUNTY,IN ,CENTERVILLE-ABINGTON COM SCHS
CENTINELA VALLEY UNION HIGH,California,607920,LOS ANGELES COUNTY,CA ,CENTINELA VALLEY UNION HIGH
CENTRAL,Kansas,2004230,COWLEY COUNTY,KS ,CENTRAL
CENTRAL,Oklahoma,4007140,SEQUOYAH COUNTY,OK ,CENTRAL
CENTRAL A & M CUD 21,Illinois,1709100,CHRISTIAN COUNTY,IL ,CENTRAL A & M CUD 21
CENTRAL ACADEMY,Michigan,2600163,WASHTENAW COUNTY,MI ,CENTRAL ACADEMY
CENTRAL ACADEMY OF OHIO,Ohio,3901313,LUCAS COUNTY,OH ,CENTRAL ACADEMY OF OHIO
CENTRAL ARIZONA VALLEY INSTITUTE OF TECHNOLOGY,Arizona,400348,PINAL COUNTY,AZ ,CENTRAL ARIZONA VALLEY INSTITUTE OF TECHNOLOGY
CENTRAL BERKSHIRE,Massachusetts,2503390,BERKSHIRE COUNTY,MA ,CENTRAL BERKSHIRE
CENTRAL BUCKS SD,Pennsylvania,4205310,BUCKS COUNTY,PA ,CENTRAL BUCKS SD
CENTRAL CALIF MIGRANT HEAD START JPA,California,601376,STANISLAUS COUNTY,CA ,CENTRAL CALIF MIGRANT HEAD START JPA
CENTRAL CALIFORNIA SCHOOL FINANCE AUTHORITY JPA,California,601353,SAN LUIS OBISPO COUNTY,CA ,CENTRAL CALIFORNIA SCHOOL FINANCE AUTHORITY JPA
CENTRAL CAMBRIA SD,Pennsylvania,4205340,CAMBRIA COUNTY,PA ,CENTRAL CAMBRIA SD
CENTRAL CASS 17,North Dakota,3804090,CASS COUNTY,ND ,CENTRAL CASS 17
CENTRAL CHSD 71,Illinois,1704770,CLINTON COUNTY,IL ,CENTRAL CHSD 71
CENTRAL CITY COMM SCHOOL DISTRICT,Iowa,1906780,LINN COUNTY,IA ,CENTRAL CITY COMM SCHOOL DISTRICT
CENTRAL CITY CYBERSCHOOL AGENCY,Wisconsin,5500041,MILWAUKEE COUNTY,WI ,CENTRAL CITY CYBERSCHOOL AGENCY
CENTRAL CITY PUBLIC SCHOOLS,Nebraska,3104920,MERRICK COUNTY,NE ,CENTRAL CITY PUBLIC SCHOOLS
CENTRAL CITY SD 133,Illinois,1709180,MARION COUNTY,IL ,CENTRAL CITY SD 133
CENTRAL CLINTON COMM SCHOOL DISTRICT,Iowa,1906810,CLINTON COUNTY,IA ,CENTRAL CLINTON COMM SCHOOL DISTRICT
CENTRAL COLUMBIA SD,Pennsylvania,4205370,COLUMBIA COUNTY,PA ,CENTRAL COLUMBIA SD
CENTRAL COMM SCHOOL DISTRICT,Iowa,1906840,CLAYTON COUNTY,IA ,CENTRAL COMM SCHOOL DISTRICT
CENTRAL COMMUNITY SCHOOL DISTRICT,Louisiana,2200125,EAST BATON ROUGE PARISH,LA ,CENTRAL COMMUNITY SCHOOL DISTRICT
CENTRAL CONSOLIDATED SCHOOLS,New Mexico,3500390,SAN JUAN COUNTY,NM ,CENTRAL CONSOLIDATED SCHOOLS
CENTRAL CURRY SD 1,Oregon,4105760,CURRY COUNTY,OR ,CENTRAL CURRY SD 1
CENTRAL CUSD 3,Illinois,1708220,ADAMS COUNTY,IL ,CENTRAL CUSD 3
CENTRAL CUSD 301,Illinois,1707830,KANE COUNTY,IL ,CENTRAL CUSD 301
CENTRAL CUSD 4,Illinois,1710410,IROQUOIS COUNTY,IL ,CENTRAL CUSD 4
CENTRAL DAUPHIN SD,Pennsylvania,4205400,DAUPHIN COUNTY,PA ,CENTRAL DAUPHIN SD
CENTRAL DECATUR COMM SCHOOL DISTRICT,Iowa,1906900,DECATUR COUNTY,IA ,CENTRAL DECATUR COMM SCHOOL DISTRICT
CENTRAL ELEM,California,607950,SAN BERNARDINO COUNTY,CA ,CENTRAL ELEMENTARY
CENTRAL ELEM 32,North Dakota,3800037,SLOPE COUNTY,ND ,CENTRAL ELEM 32
CENTRAL FALLS,Rhode Island,4400120,PROVIDENCE COUNTY,RI ,CENTRAL FALLS
CENTRAL FULTON SD,Pennsylvania,4214850,FULTON COUNTY,PA ,CENTRAL FULTON SD
CENTRAL GREENE SD,Pennsylvania,4205430,GREENE COUNTY,PA ,CENTRAL GREENE SD
CENTRAL HEIGHTS,Kansas,2000014,FRANKLIN COUNTY,KS ,CENTRAL HEIGHTS
CENTRAL HEIGHTS ISD,Texas,4813440,NACOGDOCHES COUNTY,TX ,CENTRAL HEIGHTS ISD
CENTRAL HIGH,Oklahoma,4007170,STEPHENS COUNTY,OK ,CENTRAL HIGH
CENTRAL IL VOC ED COOP,Illinois,1700289,WOODFORD COUNTY,IL ,CENTRAL IL VOC ED COOP
CENTRAL ILL RURAL REGION,Illinois,1700286,JERSEY COUNTY,IL ,CENTRAL ILL RURAL REGION
CENTRAL IN EDUCATION SERVICE CTR,Indiana,1800140,MARION COUNTY,IN ,CENTRAL IN EDUCATION SERVICE CTR
CENTRAL ISD,Texas,4813500,ANGELINA COUNTY,TX ,CENTRAL ISD
CENTRAL ISLIP UNION FREE SCHOOL DISTRICT,New York,3606870,SUFFOLK COUNTY,NY ,CENTRAL ISLIP UNION FREE SCHOOL DISTRICT
CENTRAL IU 10,Pennsylvania,4289200,CLEARFIELD COUNTY,PA ,CENTRAL IU 10
CENTRAL JERSEY ARTS CHARTER SCHOOL,New Jersey,3400075,UNION COUNTY,NJ ,CENTRAL JERSEY ARTS CHARTER SCHOOL
CENTRAL JERSEY COLLEGE PREP CHARTER SCHOOL,New Jersey,3400090,MIDDLESEX COUNTY,NJ ,CENTRAL JERSEY COLLEGE PREP CS
CENTRAL KANSAS COOPERATIVE IN EDUCATION,Kansas,2000038,SALINE COUNTY,KS ,CENTRAL KANSAS COOPERATIVE IN EDUCATION
CENTRAL KENTUCKY EDUCATION COOPERATIVE,Kentucky,2100113,FAYETTE COUNTY,KY ,CENTRAL KENTUCKY EDUCATION COOPERATIVE
CENTRAL KENTUCKY SPECIAL EDUCATION COOPERATIVE,Kentucky,2100110,FAYETTE COUNTY,KY ,CENTRAL KENTUCKY SPECIAL EDUCATION COOPERATIVE
CENTRAL KITSAP SCHOOL DISTRICT,Washington,5301080,KITSAP COUNTY,WA ,CENTRAL KITSAP SCHOOL DISTRICT
CENTRAL LAKE PUBLIC SCHOOLS,Michigan,2608610,ANTRIM COUNTY,MI ,CENTRAL LAKE PUBLIC SCHOOLS
CENTRAL LAKES EDUCATION DISTRICT,Minnesota,2700061,KANDIYOHI COUNTY,MN ,CENTRAL LAKES EDUCATION DISTRICT
CENTRAL LEE COMM SCHOOL DISTRICT,Iowa,1906930,LEE COUNTY,IA ,CENTRAL LEE COMM SCHOOL DISTRICT
CENTRAL LINN SD 552,Oregon,4102910,LINN COUNTY,OR ,CENTRAL LINN SD 552
CENTRAL LOCAL,Ohio,3904671,DEFIANCE COUNTY,OH ,CENTRAL LOCAL
CENTRAL LYON COMM SCHOOL DISTRICT,Iowa,1906960,LYON COUNTY,IA ,CENTRAL LYON COMM SCHOOL DISTRICT
CENTRAL MINNESOTA E.R.D.C.,Minnesota,2700147,BENTON COUNTY,MN ,CENTRAL MINNESOTA E.R.D.C.
CENTRAL MINNESOTA JT. POWERS DIST.,Minnesota,2700143,STEARNS COUNTY,MN ,CENTRAL MINNESOTA JT. POWERS DIST.
CENTRAL MINNESOTA ONLINE LEARNING,Minnesota,2700329,TODD COUNTY,MN ,CENTRAL MINNESOTA ONLINE LEARNING
CENTRAL MN ED TELECOM SYSTEM,Minnesota,2700205,DOUGLAS COUNTY,MN ,CENTRAL MN ED TELECOM SYSTEM
CENTRAL MONTCALM PUBLIC SCHOOLS,Michigan,2608640,MONTCALM COUNTY,MI ,CENTRAL MONTCALM PUBLIC SCHOOLS
CENTRAL MONTCO TECHNICAL HIGH SCHOOL,Pennsylvania,4280330,MONTGOMERY COUNTY,PA ,CENTRAL MONTCO TECHNICAL HIGH SCHOOL
CENTRAL MT LEARN RES CTR,Montana,3000029,FERGUS COUNTY,MT ,CENTRAL MT LEARN RES CTR
CENTRAL NINE CAREER CENTER,Indiana,1801470,JOHNSON COUNTY,IN ,CENTRAL NINE CAREER CENTER
CENTRAL NOBLE COM SCHOOL CORP,Indiana,1801710,NOBLE COUNTY,IN ,CENTRAL NOBLE COM SCHOOL CORP
CENTRAL OHIO EARLY COLLEGE ACADEMY,Ohio,3901421,DELAWARE COUNTY,OH ,CENTRAL OHIO EARLY COLLEGE ACADEMY
CENTRAL ORANGE COUNTY CTE PARTNERSHIP (CTEP),California,600124,ORANGE COUNTY,CA ,CENTRAL COUNTY ROP
CENTRAL PA DIGITAL LEARNING FOUNDATION CS,Pennsylvania,4200095,BLAIR COUNTY,PA ,CENTRAL PA DIGITAL LEARNING FOUNDATION CS
CENTRAL PA INSTITUTE OF SCIENCE & TECHNOLOGY,Pennsylvania,4280530,CENTRE COUNTY,PA ,CENTRAL PA INSTITUTE OF SCIENCE & TECHNOLOGY
CENTRAL PARK SCHOOL FOR CHILDREN,North Carolina,3700130,DURHAM COUNTY,NC ,CENTRAL PARK SCHOOL FOR CHILD
CENTRAL PLAINS,Kansas,2000349,ELLSWORTH COUNTY,KS ,CENTRAL PLAINS
CENTRAL POINT SD 6,Oregon,4102940,JACKSON COUNTY,OR ,CENTRAL POINT SD 6
CENTRAL PUBLIC SCHOOL DISTRICT,Minnesota,2723910,CARVER COUNTY,MN ,CENTRAL PUBLIC SCHOOL DISTRICT
CENTRAL R-III,Missouri,2929170,ST. FRANCOIS COUNTY,MO ,CENTRAL R-III
CENTRAL REGIONAL SCHOOL DISTRICT,New Jersey,3402910,OCEAN COUNTY,NJ ,CENTRAL REGIONAL
CENTRAL SAVANNAH RIVER RESA,Georgia,1300015,MCDUFFIE COUNTY,GA ,CENTRAL SAVANNAH RIVER RESA
CENTRAL SD 104,Illinois,1709170,ST. CLAIR COUNTY,IL ,CENTRAL SD 104
CENTRAL SD 13J,Oregon,4102840,POLK COUNTY,OR ,CENTRAL SD 13J
CENTRAL SD 51,Illinois,1709150,TAZEWELL COUNTY,IL ,CENTRAL SD 51
CENTRAL SIERRA ROP,California,600096,EL DORADO COUNTY,CA ,CENTRAL SIERRA ROP
CENTRAL SIERRA ROP JPA,California,601400,EL DORADO COUNTY,CA ,CENTRAL SIERRA ROP JPA
CENTRAL SPRINGS COMM SCHOOL DISTRICT,Iowa,1920760,WORTH COUNTY,IA ,NORTH CENTRAL COMM SCHOOL DISTRICT
CENTRAL SQUARE CENTRAL SCHOOL DISTRICT,New York,3606900,OSWEGO COUNTY,NY ,CENTRAL SQUARE CENTRAL SCHOOL DISTRICT
CENTRAL ST HOSP,Virginia,5100045,DINWIDDIE COUNTY,VA ,CENTRAL ST HOSP
CENTRAL STICKNEY SD 110,Illinois,1737860,COOK COUNTY,IL ,CENTRAL STICKNEY SD 110
CENTRAL SUSQUEHANNA IU 16,Pennsylvania,4289260,NORTHUMBERLAND COUNTY,PA ,CENTRAL SUSQUEHANNA IU 16
CENTRAL TECH,Oklahoma,4000058,CREEK COUNTY,OK ,CENTRAL TECH
CENTRAL UNF,California,607970,FRESNO COUNTY,CA ,CENTRAL UNIFIED
CENTRAL UNION ELEM,California,607980,KINGS COUNTY,CA ,CENTRAL UNION ELEMENTARY
CENTRAL UNION HIGH,California,608010,IMPERIAL COUNTY,CA ,CENTRAL UNION HIGH
CENTRAL UTAH ED SERVICES,Utah,4900027,SEVIER COUNTY,UT ,CENTRAL UTAH ED SERVICES
CENTRAL VALLEY 3,North Dakota,3804140,TRAILL COUNTY,ND ,CENTRAL VALLEY 3
CENTRAL VALLEY PRE-SCHOOL JPA,California,601378,FRESNO COUNTY,CA ,CENTRAL VALLEY PRE-SCHOOL JPA
CENTRAL VALLEY SCHOOL DISTRICT,Washington,5301110,SPOKANE COUNTY,WA ,CENTRAL VALLEY SCHOOL DISTRICT
CENTRAL VALLEY SD,Pennsylvania,4200824,BEAVER COUNTY,PA ,CENTRAL VALLEY SD
CENTRAL VALLEY SUPPORT SERVICES JPA,California,601362,FRESNO COUNTY,CA ,CENTRAL VALLEY SUPPORT SERVICES JPA
CENTRAL VIRGINIA GOV SCH FOR SCI/TECH,Virginia,5102173,LYNCHBURG CITY,VA ,CENTRAL VIRGINIA GOV SCH FOR SCI/TECH
CENTRAL WASHINGTON UNIVERSITY,Washington,5300315,KITTITAS COUNTY,WA ,CENTRAL WASHINGTON UNIVERSITY
CENTRAL WESTMORELAND CTC,Pennsylvania,4280470,WESTMORELAND COUNTY,PA ,CENTRAL WESTMORELAND CTC
CENTRAL YORK SD,Pennsylvania,4205490,YORK COUNTY,PA ,CENTRAL YORK SD
CENTRAL/WESTOSHA UHS SCHOOL DISTRICT,Wisconsin,5513290,KENOSHA COUNTY,WI ,CENTRAL/WESTOSHA UHS SCHOOL DISTRICT
CENTRALIA COLLEGE,Washington,5300016,LEWIS COUNTY,WA ,CENTRALIA COLLEGE
CENTRALIA ELEM,California,608070,ORANGE COUNTY,CA ,CENTRALIA ELEMENTARY
CENTRALIA HSD 200,Illinois,1709300,MARION COUNTY,IL ,CENTRALIA HSD 200
CENTRALIA R-VI,Missouri,2908400,BOONE COUNTY,MO ,CENTRALIA R-VI
CENTRALIA SCHOOL DISTRICT,Washington,5301140,LEWIS COUNTY,WA ,CENTRALIA SCHOOL DISTRICT
CENTRALIA SD 135,Illinois,1709270,MARION COUNTY,IL ,CENTRALIA SD 135
CENTRE,Kansas,2008940,MARION COUNTY,KS ,CENTRE
CENTRE LEARNING COMMUNITY CS,Pennsylvania,4200023,CENTRE COUNTY,PA ,CENTRE LEARNING COMMUNITY CS
CENTREVILLE PUBLIC SCHOOLS,Michigan,2608670,ST. JOSEPH COUNTY,MI ,CENTREVILLE PUBLIC SCHOOLS
